original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
10,https://react.dev/reference/react-dom/client/createRoot,2025-10-21 15:34:47,success,,createRoot,react-dom,JavaScript,,,hydrateRoot for server-rendered apps,Behavior Change,To handle server-rendered HTML more efficiently and prevent unnecessary DOM manipulation,https://react.dev/reference/react-dom/client#createRoot
15,https://react.dev/reference/react-dom/server/renderToString,2025-10-21 15:34:48,success,,renderToString,react-dom,JavaScript,,,"renderToPipeableStream, renderToReadableStream",API Deprecation,"renderToString does not support streaming or waiting for data, making it unsuitable for scenarios requiring progressive rendering or a fully resolved static HTML output.",https://reactjs.org/docs/react-dom-server.html#rendertostring
13,https://react.dev/reference/react-dom/server/renderToPipeableStream,2025-10-21 15:34:48,success,,renderToPipeableStream,react-dom,JavaScript,,,renderToReadableStream,Behavior Change,"React recommends using Web Streams for modern environments like Deno and edge runtimes rather than Node.js Streams, as Web Streams provide better integration in these environments.",https://react.dev/reference/renderToPipeableStream
12,https://react.dev/reference/react-dom/server/renderToPipeableStream,2025-10-21 15:34:47,success,,renderToPipeableStream,react-dom/server,JavaScript,,,renderToReadableStream,Behavior Change,React advises usage of Web Streams APIs like `renderToReadableStream` for environments such as Deno or modern edge runtimes due to broader compatibility with Web Streams.,https://react.dev/reference/react-dom/server/renderToPipeableStream
17,https://react.dev/reference/react-dom/server/resumeToPipeableStream,2025-10-21 15:34:50,success,,resumeToPipeableStream,react-dom@19.2,JavaScript,,,resume,API Deprecation,"The `resumeToPipeableStream` API, specific to Node.js streams, has largely been replaced by the more versatile `resume` API that supports environments with Web Streams, such as Deno and modern edge runtimes.",https://react.dev/docs/api-reference#resumetopipeablestream
18,https://react.dev/reference/react-dom/static/prerender,2025-10-21 15:34:54,success,,prerender,react-dom,JavaScript/React,,,renderToReadableStream,Behavior Change,"The `prerender` API is designed for static site generation (SSG) to render a complete page after all data has loaded, unlike `renderToReadableStream`, which allows streaming content as it loads. Developers requiring streaming should use `renderToReadableStream` instead.",https://react.dev/reference/react-dom/static/prerender
22,https://react.dev/reference/react/act,2025-10-21 15:34:57,success,,act,react,JavaScript,19.x,Future versions (TBD),await act(async actFn),API Deprecation,"The synchronous version of act does not work consistently due to internal React scheduling, especially with async boundary-crossing code.",https://react.dev/api-reference/act
27,https://react.dev/reference/react/createContext,2025-10-21 15:35:04,success,,createContext,react,JavaScript,,,useContext,API Deprecation,"Simplified usage and improved readability by introducing a dedicated hook, `useContext`, for accessing context.",https://react.dev/reference/createContext
29,https://react.dev/reference/react/memo,2025-10-21 15:35:05,success,,memo,react,JavaScript,,,React Compiler (automatic memoization),Performance Optimization,"React Compiler automatically applies memoization to components, making manual use of React.memo unnecessary.",https://reactjs.org/docs/react-api.html#memo
31,https://react.dev/reference/react/use,2025-10-21 15:35:05,success,,use,react,JavaScript,,,N/A (no replacement as it is an active API),,,https://reactjs.org/docs/react-api.html#use
40,https://react.dev/reference/react/useActionState,2025-10-21 15:35:13,success,,useFormState,react-dom,JavaScript,React Canary,,useActionState,API Deprecation,Consolidation of APIs for modern forms usage and better alignment with React Server Components.,https://react.dev/docs/hooks-reference#useactionstate
41,https://react.dev/reference/react/useCallback,2025-10-21 15:35:13,success,,useCallback,react,JavaScript,,,React Compiler's automatic memoization,Performance Optimization,"React Compiler now automatically memoizes values and functions, reducing the need for manual `useCallback` calls.",https://react.dev/reference/useCallback
48,https://react.dev/reference/react/useImperativeHandle,2025-10-21 15:35:22,success,,useImperativeHandle,react,JavaScript,18,,,Parameter Change,"The `ref` parameter was updated in React 19 to be directly available as a prop, eliminating the need for `forwardRef` in its usage.",https://react.dev/reference#useimperativehandle
50,https://react.dev/reference/react/useLayoutEffect,2025-10-21 15:35:25,success,,useLayoutEffect,react,JavaScript,,,useEffect (in scenarios without layout-related measurements),Performance Optimization,useLayoutEffect can hurt performance as it blocks the browser from painting until the layout measurement logic finishes executing. Developers are encouraged to use useEffect when layout information is not needed before repaint.,https://react.dev/reference/react/useLayoutEffect
59,https://react.dev/reference/react-dom/components/common,2025-10-21 15:35:34,success,,onKeyPress,react,JavaScript,19.2,,onKeyDown or onBeforeInput,API Deprecation,onKeyPress is deprecated in favor of onKeyDown and onBeforeInput for better reliability and standardization across browsers.,https://react.dev
